0, -7.568647897115056
0.4999999999999999, -7.717212149752768
0.9999999999999999, -8.014340655028207
1.5, -8.385751286622494
2, -8.757161918216795
2.4999999999999996, -8.905726170854507
3, -9.054290423492219
3.5000000000000004, -8.831444044535644
4, -8.757161918216795
4.5, -8.608597665579069
5, -8.608597665579069
5.5, -8.905726170854507
5.999999999999999, -9.277136802448794
6.5, -9.945675939318505
7, -10.465650823550519
7.499999999999999, -11.059907834101395
7.999999999999999, -11.505600592014545
8.5, -12.025575476246544
9, -12.396986107840846
9.5, -12.842678865753982
10, -13.13980737102942
10.5, -13.436935876304844
11, -13.659782255261419
11.499999999999998, -13.808346507899145
12, -13.882628634217994
12.5, -14.10547501317457
13, -14.254039265812295
13.5, -14.55116777108772
13.999999999999998, -14.774014150044295
14.5, -15.219706907957445
15, -15.739681792189458
15.500000000000002, -16.40822092905917
16, -17.22532431856662
16.5, -18.19099196071177
17, -19.082377476538056
17.5, -20.270891497639795
18, -21.162277013466095
18.5, -22.202226781930108
19, -23.019330171437545
19.5, -23.984997813582694
20, -24.727819076771283
20.5, -25.396358213641008
21, -25.99061522419187
21.5, -26.584872234742747
22, -27.030564992655883
22.5, -27.62482200320676
22.999999999999996, -28.14479688743876
23.5, -28.590489645351894
24, -28.887618150627347
24.499999999999996, -29.25902878222162
25, -29.407593034859346
25.5, -29.556157287497072
26, -29.556157287497072
26.499999999999996, -29.556157287497072
27, -29.70472154013477
27.5, -29.70472154013477
27.999999999999996, -29.70472154013477
28.5, -29.853285792772496
29, -29.853285792772496
29.499999999999996, -29.927567919091345
30.000000000000004, -30.001850045410208
30.5, -29.853285792772496
31, -29.853285792772496
31.499999999999996, -29.70472154013477
31.999999999999996, -29.481875161178195
32.5, -29.110464529583922
33, -28.73905389798962
33.5, -28.293361140076485
34, -27.847668382163334
34.5, -27.401975624250184
35, -26.88200074001817
35.5, -26.43630798210502
36, -25.842050971554144
36.5, -25.322076087322145
37, -24.727819076771283
37.5, -24.13356206622042
38, -23.31645867671297
38.5, -22.87076591879982
39, -22.202226781930108
39.5, -21.68225189769811
40, -21.236559139784944
40.5, -20.93943063450952
41, -20.642302129234096
41.5, -20.49373787659637
42, -20.345173623958644
42.5, -20.04804511868322
43, -19.75091661340778
43.5, -19.60235236077007
44, -19.453788108132358
44.5, -19.30522385549463
45, -19.156659602856934
45.5, -19.008095350219207
46, -18.710966844943783
46.49999999999999, -18.562402592306057
47, -18.413838339668345
47.5, -18.26527408703062
47.99999999999999, -18.116709834392907
48.5, -18.116709834392907
49, -18.116709834392907
49.5, -17.968145581755195
50, -17.968145581755195
50.49999999999999, -17.968145581755195
51, -17.968145581755195
51.5, -17.968145581755195
51.99999999999999, -17.81958132911747
52.5, -17.81958132911747
53, -17.81958132911747
53.49999999999999, -17.81958132911747
54, -17.81958132911747
54.5, -17.81958132911747
54.99999999999999, -17.81958132911747
55.5, -17.968145581755195
56, -17.968145581755195
56.49999999999999, -17.968145581755195
57, -18.116709834392907
57.5, -18.19099196071177
57.99999999999999, -18.26527408703062
58.5, -18.562402592306057
59.00000000000001, -18.710966844943783
59.5, -18.85953109758148
60, -19.008095350219207
60.49999999999999, -19.156659602856934
61, -19.230941729175782
61.5, -19.230941729175782
61.99999999999999, -19.230941729175782
62.5, -19.230941729175782
63, -19.230941729175782
63.5, -19.230941729175782
64, -19.230941729175782
64.5, -19.30522385549463
65, -19.30522385549463
65.5, -19.30522385549463
66, -19.230941729175782
66.5, -19.30522385549463
67, -19.30522385549463
67.5, -19.30522385549463
68, -19.30522385549463
68.5, -19.379505981813494
69, -19.453788108132358
69.5, -19.453788108132358
70, -19.453788108132358
70.5, -19.453788108132358
71, -19.453788108132358
71.5, -19.379505981813494
72, -19.30522385549463
72.5, -19.230941729175782
73, -19.156659602856934
73.5, -19.082377476538056
74, -19.008095350219207
74.5, -19.008095350219207
75, -19.008095350219207
75.5, -19.082377476538056
76, -19.156659602856934
76.5, -19.156659602856934
77, -19.230941729175782
77.5, -19.30522385549463
78, -19.30522385549463
78.5, -19.30522385549463
79, -19.30522385549463
79.5, -19.156659602856934
80, -19.008095350219207
80.5, -18.85953109758148
81, -18.562402592306057
81.5, -18.26527408703062
82, -17.893863455436332
82.5, -17.596734950160894
83, -17.076760065928895
83.5, -16.779631560653456
84, -16.333938802740306
84.5, -15.962528171146033
85, -15.591117539551732
85.5, -15.219706907957445
86, -14.774014150044295
86.5, -14.254039265812295
87, -13.659782255261419
87.5, -13.13980737102942
88, -12.471268234159695
88.5, -11.877011223608832
89, -11.059907834101395
89.5, -10.465650823550519
90, -9.574265307724218
90.5, -8.98000829717337
91, -8.311469160303645
91.5, -7.7914942760716315
92, -7.271519391839618
92.5, -6.974390886564194
92.99999999999999, -6.825826633926468
93.5, -6.825826633926468
94, -6.825826633926468
94.49999999999999, -6.825826633926468
95, -6.825826633926468
95.5, -6.825826633926468
95.99999999999999, -6.974390886564194
96.5, -7.122955139201906
97, -7.271519391839618
97.5, -7.420083644477344
98, -7.568647897115056
98.5, -7.717212149752768
99, -7.865776402390495
99.50000000000001, -7.865776402390495
100, -7.9400585287093435
